datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,8.3
01:00:00,0.0,0.0,0.0,9.3
02:00:00,0.0,0.0,0.0,9.3
03:00:00,0.0,0.0,0.0,9.3
04:00:00,0.0,0.0,0.0,9.3
05:00:00,0.0,0.0,0.0,9.3
06:00:00,0.0,0.0,0.0,52.4
07:00:00,19.0,0.1,0.0,42.4
08:00:00,37.0,0.1,0.0,8.8
09:00:00,28.0,0.1,0.0,9.3
10:00:00,88.0,0.3,1.0,16.2
11:00:00,114.0,0.4,1.0,8.3
12:00:00,383.0,1.4,4.0,8.7
13:00:00,63.0,0.2,1.0,98.3
14:00:00,236.0,0.8,2.0,98.9
15:00:00,881.0,3.2,9.0,70.7
16:00:00,452.0,1.6,5.0,42.7
17:00:00,547.0,2.0,5.0,86.8
18:00:00,125.0,0.5,1.0,99.0
19:00:00,100.0,0.4,1.0,60.3
20:00:00,23.0,0.1,0.0,3.4
21:00:00,0.0,0.0,0.0,2.5
22:00:00,0.0,0.0,0.0,4.6
23:00:00,0.0,0.0,0.0,8.3
