datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,3.2
01:00:00,0.0,0.0,0.0,3.2
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,3.2
06:00:00,0.0,0.0,0.0,63.7
07:00:00,51.0,0.2,1.0,52.9
08:00:00,77.0,0.3,1.0,98.6
09:00:00,123.0,0.4,1.0,98.9
10:00:00,114.0,0.4,1.0,98.6
11:00:00,329.0,1.2,3.0,85.0
12:00:00,260.0,0.9,3.0,83.7
13:00:00,1055.0,3.8,10.0,65.4
14:00:00,255.0,0.9,3.0,49.2
15:00:00,995.0,3.6,10.0,19.4
16:00:00,846.0,3.0,8.0,18.6
17:00:00,552.0,2.0,6.0,19.4
18:00:00,427.0,1.5,4.0,38.8
19:00:00,93.0,0.3,1.0,55.0
20:00:00,19.0,0.1,0.0,52.9
21:00:00,0.0,0.0,0.0,40.9
22:00:00,0.0,0.0,0.0,3.4
23:00:00,0.0,0.0,0.0,27.8
