datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,2.5
01:00:00,0.0,0.0,0.0,2.5
02:00:00,0.0,0.0,0.0,8.3
03:00:00,0.0,0.0,0.0,8.3
04:00:00,0.0,0.0,0.0,8.3
05:00:00,0.0,0.0,0.0,8.3
06:00:00,0.0,0.0,0.0,4.6
07:00:00,25.0,0.1,0.0,4.6
08:00:00,230.0,0.8,2.0,35.9
09:00:00,432.0,1.6,4.0,35.9
10:00:00,619.0,2.2,6.0,35.9
11:00:00,788.0,2.8,8.0,17.7
12:00:00,891.0,3.2,9.0,18.6
13:00:00,287.0,1.0,3.0,24.3
14:00:00,230.0,0.8,2.0,52.8
15:00:00,962.0,3.5,10.0,20.7
16:00:00,861.0,3.1,9.0,49.2
17:00:00,554.0,2.0,6.0,26.0
18:00:00,366.0,1.3,4.0,15.7
19:00:00,98.0,0.4,1.0,2.5
20:00:00,21.0,0.1,0.0,4.6
21:00:00,0.0,0.0,0.0,4.6
22:00:00,0.0,0.0,0.0,8.3
23:00:00,0.0,0.0,0.0,8.3
