datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,2.5
01:00:00,0.0,0.0,0.0,2.5
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,2.5
05:00:00,0.0,0.0,0.0,2.5
06:00:00,0.0,0.0,0.0,2.5
07:00:00,37.0,0.1,0.0,2.5
08:00:00,236.0,0.8,2.0,0.0
09:00:00,436.0,1.6,4.0,2.5
10:00:00,689.0,2.5,7.0,17.4
11:00:00,823.0,3.0,8.0,38.8
12:00:00,953.0,3.4,10.0,50.0
13:00:00,1018.0,3.7,10.0,32.6
14:00:00,967.0,3.5,10.0,38.8
15:00:00,909.0,3.3,9.0,16.5
16:00:00,802.0,2.9,8.0,3.4
17:00:00,520.0,1.9,5.0,23.6
18:00:00,378.0,1.4,4.0,2.5
19:00:00,76.0,0.3,1.0,26.0
20:00:00,18.0,0.1,0.0,2.5
21:00:00,0.0,0.0,0.0,2.5
22:00:00,0.0,0.0,0.0,0.0
23:00:00,0.0,0.0,0.0,0.0
