datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,11.2
01:00:00,0.0,0.0,0.0,8.5
02:00:00,0.0,0.0,0.0,5.5
03:00:00,0.0,0.0,0.0,2.5
04:00:00,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,3.4
06:00:00,0.0,0.0,0.0,82.8
07:00:00,30.0,0.1,0.0,31.2
08:00:00,60.0,0.2,1.0,95.4
09:00:00,190.0,0.7,2.0,99.0
10:00:00,387.0,1.4,4.0,99.0
11:00:00,461.0,1.7,5.0,100.0
12:00:00,258.0,0.9,3.0,100.0
13:00:00,452.0,1.6,5.0,88.6
14:00:00,492.0,1.8,5.0,88.6
15:00:00,362.0,1.3,4.0,88.6
16:00:00,506.0,1.8,5.0,44.6
17:00:00,250.0,0.9,3.0,28.5
18:00:00,176.0,0.6,2.0,22.2
19:00:00,62.0,0.2,1.0,31.7
20:00:00,32.0,0.1,0.0,8.3
21:00:00,0.0,0.0,0.0,8.3
22:00:00,0.0,0.0,0.0,10.0
23:00:00,0.0,0.0,0.0,9.1
