datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,44.3
01:00:00,0.0,0.0,0.0,22.4
02:00:00,0.0,0.0,0.0,8.3
03:00:00,0.0,0.0,0.0,9.3
04:00:00,0.0,0.0,0.0,8.3
05:00:00,0.0,0.0,0.0,28.5
06:00:00,0.0,0.0,0.0,86.5
07:00:00,33.0,0.1,0.0,88.7
08:00:00,69.0,0.2,1.0,94.1
09:00:00,123.0,0.4,1.0,88.6
10:00:00,181.0,0.7,2.0,93.9
11:00:00,218.0,0.8,2.0,88.6
12:00:00,348.0,1.3,3.0,69.0
13:00:00,555.0,2.0,6.0,87.4
14:00:00,436.0,1.6,4.0,73.3
15:00:00,1056.0,3.8,10.0,73.3
16:00:00,605.0,2.2,6.0,23.1
17:00:00,158.0,0.6,2.0,21.4
18:00:00,373.0,1.3,4.0,31.7
19:00:00,116.0,0.4,1.0,9.1
20:00:00,12.0,0.0,0.0,8.3
21:00:00,0.0,0.0,0.0,8.3
22:00:00,0.0,0.0,0.0,8.3
23:00:00,0.0,0.0,0.0,4.6
