datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,8.3
01:00:00,0.0,0.0,0.0,8.3
02:00:00,0.0,0.0,0.0,41.6
03:00:00,0.0,0.0,0.0,88.6
04:00:00,0.0,0.0,0.0,28.5
05:00:00,0.0,0.0,0.0,8.3
06:00:00,0.0,0.0,0.0,4.6
07:00:00,51.0,0.2,1.0,21.4
08:00:00,107.0,0.4,1.0,10.0
09:00:00,186.0,0.7,2.0,56.6
10:00:00,287.0,1.0,3.0,44.3
11:00:00,461.0,1.7,5.0,70.0
12:00:00,371.0,1.3,4.0,89.7
13:00:00,330.0,1.2,3.0,71.1
14:00:00,400.0,1.4,4.0,93.5
15:00:00,304.0,1.1,3.0,92.6
16:00:00,766.0,2.8,8.0,94.0
17:00:00,179.0,0.6,2.0,11.2
18:00:00,91.0,0.3,1.0,32.6
19:00:00,26.0,0.1,0.0,71.7
20:00:00,54.0,0.2,1.0,90.7
21:00:00,0.0,0.0,0.0,70.3
22:00:00,0.0,0.0,0.0,15.5
23:00:00,0.0,0.0,0.0,95.4
