datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,8.3
01:00:00,0.0,0.0,0.0,8.3
02:00:00,0.0,0.0,0.0,4.6
03:00:00,0.0,0.0,0.0,4.8
04:00:00,0.0,0.0,0.0,2.5
05:00:00,0.0,0.0,0.0,1.9
06:00:00,0.0,0.0,0.0,2.5
07:00:00,0.0,0.0,0.0,2.5
08:00:00,26.0,0.1,0.0,2.5
09:00:00,343.0,1.2,3.0,2.5
10:00:00,541.0,1.9,5.0,2.5
11:00:00,777.0,2.8,8.0,40.9
12:00:00,912.0,3.3,9.0,85.0
13:00:00,993.0,3.6,10.0,96.4
14:00:00,923.0,3.3,9.0,91.6
15:00:00,151.0,0.5,2.0,54.9
16:00:00,698.0,2.5,7.0,45.5
17:00:00,540.0,1.9,5.0,40.9
18:00:00,35.0,0.1,0.0,58.6
19:00:00,14.0,0.1,0.0,68.1
20:00:00,0.0,0.0,0.0,84.1
21:00:00,0.0,0.0,0.0,91.6
22:00:00,0.0,0.0,0.0,70.3
23:00:00,0.0,0.0,0.0,96.7
