datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0,0.0
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,0.0
06:00:00,0.0,0.0,0.0,0.0
07:00:00,7.0,0.0,0.0,2.5
08:00:00,67.0,0.2,1.0,2.5
09:00:00,362.0,1.3,4.0,5.5
10:00:00,566.0,2.0,6.0,2.5
11:00:00,731.0,2.6,7.0,2.5
12:00:00,851.0,3.1,9.0,4.6
13:00:00,909.0,3.3,9.0,4.6
14:00:00,963.0,3.5,10.0,9.2
15:00:00,104.0,0.4,1.0,49.5
16:00:00,821.0,3.0,8.0,47.1
17:00:00,621.0,2.2,6.0,29.8
18:00:00,313.0,1.1,3.0,7.6
19:00:00,44.0,0.2,0.0,7.1
20:00:00,7.0,0.0,0.0,26.3
21:00:00,0.0,0.0,0.0,2.5
22:00:00,0.0,0.0,0.0,2.5
23:00:00,0.0,0.0,0.0,2.5
