datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,2.5
01:00:00,0.0,0.0,0.0,2.6
02:00:00,0.0,0.0,0.0,2.6
03:00:00,0.0,0.0,0.0,2.6
04:00:00,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,0.0
06:00:00,0.0,0.0,0.0,0.0
07:00:00,11.0,0.0,0.0,0.0
08:00:00,155.0,0.6,2.0,2.5
09:00:00,371.0,1.3,4.0,2.5
10:00:00,571.0,2.1,6.0,2.5
11:00:00,745.0,2.7,7.0,4.6
12:00:00,882.0,3.2,9.0,5.5
13:00:00,944.0,3.4,9.0,5.5
14:00:00,935.0,3.4,9.0,4.6
15:00:00,879.0,3.2,9.0,4.6
16:00:00,751.0,2.7,8.0,24.8
17:00:00,536.0,1.9,5.0,39.0
18:00:00,267.0,1.0,3.0,38.1
19:00:00,56.0,0.2,1.0,2.5
20:00:00,16.0,0.1,0.0,2.5
21:00:00,0.0,0.0,0.0,2.5
22:00:00,0.0,0.0,0.0,0.0
23:00:00,0.0,0.0,0.0,0.0
