datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0,2.5
02:00:00,0.0,0.0,0.0,4.6
03:00:00,0.0,0.0,0.0,8.3
04:00:00,0.0,0.0,0.0,9.1
05:00:00,0.0,0.0,0.0,88.6
06:00:00,0.0,0.0,0.0,32.5
07:00:00,0.0,0.0,0.0,11.6
08:00:00,53.0,0.2,1.0,4.6
09:00:00,327.0,1.2,3.0,2.5
10:00:00,554.0,2.0,6.0,2.5
11:00:00,717.0,2.6,7.0,4.6
12:00:00,877.0,3.2,9.0,2.5
13:00:00,888.0,3.2,9.0,4.6
14:00:00,965.0,3.5,10.0,4.6
15:00:00,916.0,3.3,9.0,8.3
16:00:00,708.0,2.5,7.0,8.3
17:00:00,522.0,1.9,5.0,8.3
18:00:00,262.0,0.9,3.0,8.3
19:00:00,40.0,0.1,0.0,13.8
20:00:00,5.0,0.0,0.0,7.8
21:00:00,0.0,0.0,0.0,4.6
22:00:00,0.0,0.0,0.0,8.3
23:00:00,0.0,0.0,0.0,8.3
