datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0,0.0
02:00:00,0.0,0.0,0.0,35.9
03:00:00,0.0,0.0,0.0,15.7
04:00:00,0.0,0.0,0.0,4.6
05:00:00,0.0,0.0,0.0,2.5
06:00:00,0.0,0.0,0.0,22.7
07:00:00,0.0,0.0,0.0,4.6
08:00:00,53.0,0.2,1.0,26.0
09:00:00,343.0,1.2,3.0,7.8
10:00:00,483.0,1.7,5.0,29.8
11:00:00,816.0,2.9,8.0,2.5
12:00:00,846.0,3.0,8.0,17.7
13:00:00,918.0,3.3,9.0,38.8
14:00:00,483.0,1.7,5.0,27.8
15:00:00,260.0,0.9,3.0,85.4
16:00:00,279.0,1.0,3.0,88.6
17:00:00,582.0,2.1,6.0,44.6
18:00:00,58.0,0.2,1.0,67.3
19:00:00,33.0,0.1,0.0,17.7
20:00:00,0.0,0.0,0.0,28.1
21:00:00,0.0,0.0,0.0,50.1
22:00:00,0.0,0.0,0.0,4.6
23:00:00,0.0,0.0,0.0,2.5
