datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,2.5
01:00:00,0.0,0.0,0.0,2.5
02:00:00,0.0,0.0,0.0,4.6
03:00:00,0.0,0.0,0.0,63.7
04:00:00,0.0,0.0,0.0,4.6
05:00:00,0.0,0.0,0.0,2.5
06:00:00,0.0,0.0,0.0,2.5
07:00:00,9.0,0.0,0.0,4.6
08:00:00,72.0,0.3,1.0,32.6
09:00:00,169.0,0.6,2.0,70.3
10:00:00,227.0,0.8,2.0,59.6
11:00:00,429.0,1.5,4.0,44.8
12:00:00,679.0,2.4,7.0,9.3
13:00:00,735.0,2.6,7.0,89.7
14:00:00,255.0,0.9,3.0,89.2
15:00:00,533.0,1.9,5.0,6.4
16:00:00,728.0,2.6,7.0,8.3
17:00:00,285.0,1.0,3.0,13.8
18:00:00,295.0,1.1,3.0,8.3
19:00:00,58.0,0.2,1.0,8.3
20:00:00,11.0,0.0,0.0,8.3
21:00:00,0.0,0.0,0.0,8.3
22:00:00,0.0,0.0,0.0,4.6
23:00:00,0.0,0.0,0.0,4.6
