datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,2.5
01:00:00,0.0,0.0,0.0,4.6
02:00:00,0.0,0.0,0.0,4.6
03:00:00,0.0,0.0,0.0,4.6
04:00:00,0.0,0.0,0.0,4.6
05:00:00,0.0,0.0,0.0,4.6
06:00:00,0.0,0.0,0.0,4.6
07:00:00,9.0,0.0,0.0,4.6
08:00:00,70.0,0.3,1.0,51.1
09:00:00,186.0,0.7,2.0,53.1
10:00:00,353.0,1.3,4.0,93.5
11:00:00,413.0,1.5,4.0,99.0
12:00:00,819.0,2.9,8.0,51.7
13:00:00,339.0,1.2,3.0,4.6
14:00:00,881.0,3.2,9.0,25.7
15:00:00,823.0,3.0,8.0,21.1
16:00:00,708.0,2.5,7.0,21.4
17:00:00,197.0,0.7,2.0,11.2
18:00:00,192.0,0.7,2.0,28.5
19:00:00,47.0,0.2,0.0,28.5
20:00:00,18.0,0.1,0.0,8.3
21:00:00,0.0,0.0,0.0,8.3
22:00:00,0.0,0.0,0.0,4.6
23:00:00,0.0,0.0,0.0,4.6
