datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,4.6
01:00:00,0.0,0.0,0.0,4.6
02:00:00,0.0,0.0,0.0,4.6
03:00:00,0.0,0.0,0.0,4.6
04:00:00,0.0,0.0,0.0,8.3
05:00:00,0.0,0.0,0.0,8.3
06:00:00,0.0,0.0,0.0,4.6
07:00:00,5.0,0.0,0.0,4.6
08:00:00,46.0,0.2,0.0,4.6
09:00:00,355.0,1.3,4.0,7.8
10:00:00,557.0,2.0,6.0,8.5
11:00:00,722.0,2.6,7.0,4.8
12:00:00,847.0,3.0,8.0,4.8
13:00:00,909.0,3.3,9.0,2.5
14:00:00,907.0,3.3,9.0,5.5
15:00:00,833.0,3.0,8.0,5.5
16:00:00,724.0,2.6,7.0,18.6
17:00:00,555.0,2.0,6.0,4.6
18:00:00,308.0,1.1,3.0,7.8
19:00:00,40.0,0.1,0.0,4.6
20:00:00,11.0,0.0,0.0,4.6
21:00:00,0.0,0.0,0.0,4.6
22:00:00,0.0,0.0,0.0,4.8
23:00:00,0.0,0.0,0.0,4.8
