datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0,2.5
02:00:00,0.0,0.0,0.0,2.5
03:00:00,0.0,0.0,0.0,2.5
04:00:00,0.0,0.0,0.0,2.5
05:00:00,0.0,0.0,0.0,2.5
06:00:00,0.0,0.0,0.0,2.5
07:00:00,0.0,0.0,0.0,4.6
08:00:00,19.0,0.1,0.0,8.3
09:00:00,346.0,1.2,3.0,4.6
10:00:00,541.0,1.9,5.0,8.3
11:00:00,714.0,2.6,7.0,2.5
12:00:00,1004.0,3.6,10.0,34.7
13:00:00,736.0,2.6,7.0,50.9
14:00:00,991.0,3.6,10.0,44.6
15:00:00,942.0,3.4,9.0,87.4
16:00:00,824.0,3.0,8.0,43.8
17:00:00,526.0,1.9,5.0,29.8
18:00:00,271.0,1.0,3.0,17.7
19:00:00,30.0,0.1,0.0,4.3
20:00:00,0.0,0.0,0.0,4.3
21:00:00,0.0,0.0,0.0,4.2
22:00:00,0.0,0.0,0.0,46.2
23:00:00,0.0,0.0,0.0,2.5
