datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,2.5
01:00:00,0.0,0.0,0.0,2.5
02:00:00,0.0,0.0,0.0,4.6
03:00:00,0.0,0.0,0.0,8.3
04:00:00,0.0,0.0,0.0,8.3
05:00:00,0.0,0.0,0.0,8.3
06:00:00,0.0,0.0,0.0,8.3
07:00:00,14.0,0.1,0.0,9.3
08:00:00,144.0,0.5,1.0,9.3
09:00:00,294.0,1.1,3.0,9.3
10:00:00,501.0,1.8,5.0,9.3
11:00:00,744.0,2.7,7.0,9.3
12:00:00,865.0,3.1,9.0,9.3
13:00:00,921.0,3.3,9.0,9.3
14:00:00,902.0,3.2,9.0,8.5
15:00:00,817.0,2.9,8.0,8.3
16:00:00,731.0,2.6,7.0,8.3
17:00:00,496.0,1.8,5.0,4.6
18:00:00,269.0,1.0,3.0,4.6
19:00:00,72.0,0.3,1.0,2.5
20:00:00,19.0,0.1,0.0,4.3
21:00:00,0.0,0.0,0.0,2.5
22:00:00,0.0,0.0,0.0,2.5
23:00:00,0.0,0.0,0.0,2.5
