datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,2.5
01:00:00,0.0,0.0,0.0,0.0
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,2.5
04:00:00,0.0,0.0,0.0,2.5
05:00:00,0.0,0.0,0.0,3.4
06:00:00,0.0,0.0,0.0,24.4
07:00:00,11.0,0.0,0.0,4.6
08:00:00,160.0,0.6,2.0,5.5
09:00:00,163.0,0.6,2.0,63.7
10:00:00,578.0,2.1,6.0,2.5
11:00:00,749.0,2.7,7.0,4.6
12:00:00,905.0,3.3,9.0,4.6
13:00:00,1041.0,3.7,10.0,70.3
14:00:00,963.0,3.5,10.0,27.8
15:00:00,893.0,3.2,9.0,38.7
16:00:00,795.0,2.9,8.0,17.7
17:00:00,548.0,2.0,5.0,5.5
18:00:00,281.0,1.0,3.0,4.6
19:00:00,65.0,0.2,1.0,4.6
20:00:00,14.0,0.1,0.0,2.5
21:00:00,0.0,0.0,0.0,2.5
22:00:00,0.0,0.0,0.0,2.5
23:00:00,0.0,0.0,0.0,2.5
