Time (24 Hrs),Cloud Cover (%),Solar Irradiance (W/m2),Solar Energy (MJ/m2),UV Index
00:00:00,1.7,0.0,0.0,0.0
01:00:00,2.5,0.0,0.0,0.0
02:00:00,1.7,0.0,0.0,0.0
03:00:00,1.7,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,0.0
06:00:00,0.0,0.0,0.0,0.0
07:00:00,1.7,0.0,0.0,0.0
08:00:00,1.7,26.0,0.1,0.0
09:00:00,1.7,58.0,0.2,1.0
10:00:00,1.7,492.0,1.8,5.0
11:00:00,3.4,659.0,2.4,7.0
12:00:00,3.4,770.0,2.8,8.0
13:00:00,1.7,828.0,3.0,8.0
14:00:00,4.3,809.0,2.9,8.0
15:00:00,1.7,729.0,2.6,7.0
16:00:00,8.9,550.0,2.0,6.0
17:00:00,11.8,285.0,1.0,3.0
18:00:00,8.5,241.0,0.9,2.0
19:00:00,8.5,23.0,0.1,0.0
20:00:00,8.5,0.0,0.0,0.0
21:00:00,1.7,0.0,0.0,0.0
22:00:00,1.7,0.0,0.0,0.0
23:00:00,1.7,0.0,0.0,0.0
