datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,4.6
01:00:00,0.0,0.0,0.0,8.3
02:00:00,0.0,0.0,0.0,8.3
03:00:00,0.0,0.0,0.0,11.6
04:00:00,0.0,0.0,0.0,88.9
05:00:00,0.0,0.0,0.0,11.2
06:00:00,0.0,0.0,0.0,38.8
07:00:00,16.0,0.1,0.0,2.5
08:00:00,195.0,0.7,2.0,4.6
09:00:00,410.0,1.5,4.0,31.4
10:00:00,761.0,2.7,8.0,69.6
11:00:00,912.0,3.3,9.0,29.3
12:00:00,926.0,3.3,9.0,73.7
13:00:00,163.0,0.6,2.0,58.6
14:00:00,294.0,1.1,3.0,84.7
15:00:00,304.0,1.1,3.0,87.2
16:00:00,777.0,2.8,8.0,31.7
17:00:00,506.0,1.8,5.0,17.7
18:00:00,339.0,1.2,3.0,28.9
19:00:00,100.0,0.4,1.0,6.3
20:00:00,18.0,0.1,0.0,8.0
21:00:00,0.0,0.0,0.0,7.6
22:00:00,0.0,0.0,0.0,40.2
23:00:00,0.0,0.0,0.0,4.6
