datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,4.6
01:00:00,0.0,0.0,0.0,4.6
02:00:00,0.0,0.0,0.0,4.6
03:00:00,0.0,0.0,0.0,85.4
04:00:00,0.0,0.0,0.0,100.0
05:00:00,0.0,0.0,0.0,100.0
06:00:00,0.0,0.0,0.0,99.6
07:00:00,11.0,0.0,0.0,100.0
08:00:00,46.0,0.2,0.0,100.0
09:00:00,86.0,0.3,1.0,100.0
10:00:00,156.0,0.6,2.0,100.0
11:00:00,323.0,1.2,3.0,100.0
12:00:00,227.0,0.8,2.0,100.0
13:00:00,313.0,1.1,3.0,100.0
14:00:00,517.0,1.9,5.0,95.2
15:00:00,206.0,0.7,2.0,99.0
16:00:00,276.0,1.0,3.0,94.1
17:00:00,178.0,0.6,2.0,88.6
18:00:00,341.0,1.2,3.0,52.8
19:00:00,44.0,0.2,0.0,73.3
20:00:00,14.0,0.1,0.0,7.8
21:00:00,0.0,0.0,0.0,7.8
22:00:00,0.0,0.0,0.0,4.6
23:00:00,0.0,0.0,0.0,4.6
