datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,15.7
01:00:00,0.0,0.0,0.0,2.5
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,2.5
04:00:00,0.0,0.0,0.0,2.5
05:00:00,0.0,0.0,0.0,2.5
06:00:00,0.0,0.0,0.0,2.5
07:00:00,16.0,0.1,0.0,2.5
08:00:00,176.0,0.6,2.0,16.5
09:00:00,487.0,1.8,5.0,24.8
10:00:00,127.0,0.5,1.0,28.9
11:00:00,879.0,3.2,9.0,54.6
12:00:00,932.0,3.4,9.0,43.3
13:00:00,267.0,1.0,3.0,22.2
14:00:00,1000.0,3.6,10.0,50.9
15:00:00,338.0,1.2,3.0,34.7
16:00:00,749.0,2.7,7.0,9.1
17:00:00,519.0,1.9,5.0,16.7
18:00:00,371.0,1.3,4.0,53.2
19:00:00,151.0,0.5,2.0,4.6
20:00:00,12.0,0.0,0.0,4.6
21:00:00,0.0,0.0,0.0,4.6
22:00:00,0.0,0.0,0.0,2.5
23:00:00,0.0,0.0,0.0,2.5
