datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,4.6
01:00:00,0.0,0.0,0.0,4.6
02:00:00,0.0,0.0,0.0,4.6
03:00:00,0.0,0.0,0.0,69.0
04:00:00,0.0,0.0,0.0,64.5
05:00:00,0.0,0.0,0.0,2.5
06:00:00,0.0,0.0,0.0,4.6
07:00:00,21.0,0.1,0.0,4.6
08:00:00,144.0,0.5,1.0,8.3
09:00:00,200.0,0.7,2.0,93.7
10:00:00,584.0,2.1,6.0,22.5
11:00:00,540.0,1.9,5.0,85.8
12:00:00,415.0,1.5,4.0,99.0
13:00:00,357.0,1.3,4.0,63.3
14:00:00,849.0,3.1,8.0,55.2
15:00:00,190.0,0.7,2.0,94.1
16:00:00,53.0,0.2,1.0,21.2
17:00:00,35.0,0.1,0.0,32.3
18:00:00,37.0,0.1,0.0,58.2
19:00:00,28.0,0.1,0.0,10.0
20:00:00,35.0,0.1,0.0,8.3
21:00:00,0.0,0.0,0.0,8.3
22:00:00,0.0,0.0,0.0,4.6
23:00:00,0.0,0.0,0.0,4.6
