datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0,0.0
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,5.5
05:00:00,0.0,0.0,0.0,46.5
06:00:00,0.0,0.0,0.0,87.1
07:00:00,14.0,0.1,0.0,25.7
08:00:00,100.0,0.4,1.0,26.0
09:00:00,364.0,1.3,4.0,38.8
10:00:00,202.0,0.7,2.0,55.0
11:00:00,759.0,2.7,8.0,3.4
12:00:00,863.0,3.1,9.0,17.4
13:00:00,946.0,3.4,9.0,43.6
14:00:00,981.0,3.5,10.0,17.7
15:00:00,860.0,3.1,9.0,2.5
16:00:00,729.0,2.6,7.0,2.5
17:00:00,482.0,1.7,5.0,0.0
18:00:00,279.0,1.0,3.0,0.0
19:00:00,70.0,0.3,1.0,0.0
20:00:00,19.0,0.1,0.0,0.0
21:00:00,0.0,0.0,0.0,0.0
22:00:00,0.0,0.0,0.0,0.0
23:00:00,0.0,0.0,0.0,0.0
