datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0,0.0
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,2.5
06:00:00,0.0,0.0,0.0,22.7
07:00:00,14.0,0.1,0.0,8.3
08:00:00,179.0,0.6,2.0,4.6
09:00:00,396.0,1.4,4.0,25.7
10:00:00,624.0,2.2,6.0,49.2
11:00:00,782.0,2.8,8.0,64.5
12:00:00,949.0,3.4,9.0,85.0
13:00:00,958.0,3.4,10.0,55.0
14:00:00,977.0,3.5,10.0,26.5
15:00:00,327.0,1.2,3.0,85.0
16:00:00,817.0,2.9,8.0,82.9
17:00:00,452.0,1.6,5.0,55.0
18:00:00,302.0,1.1,3.0,25.7
19:00:00,58.0,0.2,1.0,26.5
20:00:00,16.0,0.1,0.0,2.5
21:00:00,3.0,0.0,0.0,2.5
22:00:00,0.0,0.0,0.0,0.0
23:00:00,0.0,0.0,0.0,0.0
