datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,8.3
01:00:00,0.0,0.0,0.0,4.6
02:00:00,0.0,0.0,0.0,8.3
03:00:00,0.0,0.0,0.0,8.3
04:00:00,0.0,0.0,0.0,8.3
05:00:00,0.0,0.0,0.0,8.3
06:00:00,0.0,0.0,0.0,4.6
07:00:00,28.0,0.1,0.0,4.6
08:00:00,202.0,0.7,2.0,4.6
09:00:00,396.0,1.4,4.0,4.6
10:00:00,628.0,2.3,6.0,4.6
11:00:00,733.0,2.6,7.0,4.6
12:00:00,911.0,3.3,9.0,8.3
13:00:00,958.0,3.4,10.0,8.3
14:00:00,970.0,3.5,10.0,8.3
15:00:00,893.0,3.2,9.0,4.6
16:00:00,786.0,2.8,8.0,4.6
17:00:00,533.0,1.9,5.0,22.7
18:00:00,287.0,1.0,3.0,2.5
19:00:00,63.0,0.2,1.0,2.5
20:00:00,21.0,0.1,0.0,2.5
21:00:00,0.0,0.0,0.0,2.5
22:00:00,0.0,0.0,0.0,2.5
23:00:00,0.0,0.0,0.0,0.0
