datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,2.5
01:00:00,0.0,0.0,0.0,5.9
02:00:00,0.0,0.0,0.0,24.8
03:00:00,0.0,0.0,0.0,5.5
04:00:00,0.0,0.0,0.0,66.3
05:00:00,0.0,0.0,0.0,4.6
06:00:00,0.0,0.0,0.0,49.2
07:00:00,0.0,0.0,0.0,7.6
08:00:00,37.0,0.1,0.0,63.4
09:00:00,260.0,0.9,3.0,22.7
10:00:00,508.0,1.8,5.0,2.5
11:00:00,751.0,2.7,8.0,54.1
12:00:00,882.0,3.2,9.0,51.3
13:00:00,343.0,1.2,3.0,88.6
14:00:00,206.0,0.7,2.0,72.0
15:00:00,854.0,3.1,9.0,50.0
16:00:00,155.0,0.6,2.0,89.1
17:00:00,100.0,0.4,1.0,50.0
18:00:00,95.0,0.3,1.0,8.5
19:00:00,54.0,0.2,1.0,8.5
20:00:00,0.0,0.0,0.0,13.8
21:00:00,0.0,0.0,0.0,8.3
22:00:00,0.0,0.0,0.0,37.9
23:00:00,0.0,0.0,0.0,4.6
