datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,4.6
01:00:00,0.0,0.0,0.0,4.6
02:00:00,0.0,0.0,0.0,4.6
03:00:00,0.0,0.0,0.0,4.6
04:00:00,0.0,0.0,0.0,2.5
05:00:00,0.0,0.0,0.0,4.8
06:00:00,0.0,0.0,0.0,2.5
07:00:00,0.0,0.0,0.0,4.6
08:00:00,28.0,0.1,0.0,4.6
09:00:00,84.0,0.3,1.0,8.3
10:00:00,503.0,1.8,5.0,8.3
11:00:00,659.0,2.4,7.0,8.3
12:00:00,840.0,3.0,8.0,43.3
13:00:00,814.0,2.9,8.0,58.2
14:00:00,828.0,3.0,8.0,43.3
15:00:00,744.0,2.7,7.0,42.4
16:00:00,638.0,2.3,6.0,5.7
17:00:00,169.0,0.6,2.0,31.1
18:00:00,207.0,0.7,2.0,5.5
19:00:00,23.0,0.1,0.0,3.4
20:00:00,0.0,0.0,0.0,35.9
21:00:00,0.0,0.0,0.0,15.7
22:00:00,0.0,0.0,0.0,2.5
23:00:00,0.0,0.0,0.0,4.6
