datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,4.6
01:00:00,0.0,0.0,0.0,8.3
02:00:00,0.0,0.0,0.0,8.3
03:00:00,0.0,0.0,0.0,8.3
04:00:00,0.0,0.0,0.0,8.3
05:00:00,0.0,0.0,0.0,4.6
06:00:00,0.0,0.0,0.0,2.5
07:00:00,0.0,0.0,0.0,2.5
08:00:00,28.0,0.1,0.0,4.2
09:00:00,62.0,0.2,1.0,2.5
10:00:00,483.0,1.7,5.0,16.5
11:00:00,659.0,2.4,7.0,3.4
12:00:00,780.0,2.8,8.0,29.8
13:00:00,858.0,3.1,9.0,23.1
14:00:00,807.0,2.9,8.0,10.0
15:00:00,717.0,2.6,7.0,22.2
16:00:00,165.0,0.6,2.0,21.4
17:00:00,125.0,0.5,1.0,70.3
18:00:00,79.0,0.3,1.0,88.6
19:00:00,0.0,0.0,0.0,93.7
20:00:00,0.0,0.0,0.0,44.6
21:00:00,0.0,0.0,0.0,71.1
22:00:00,0.0,0.0,0.0,8.3
23:00:00,0.0,0.0,0.0,87.5
