datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0,0.0
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,0.0
06:00:00,0.0,0.0,0.0,0.0
07:00:00,0.0,0.0,0.0,0.0
08:00:00,26.0,0.1,0.0,0.0
09:00:00,306.0,1.1,3.0,0.0
10:00:00,563.0,2.0,6.0,0.0
11:00:00,737.0,2.7,7.0,0.0
12:00:00,856.0,3.1,9.0,0.0
13:00:00,909.0,3.3,9.0,0.0
14:00:00,904.0,3.3,9.0,0.0
15:00:00,819.0,2.9,8.0,0.0
16:00:00,687.0,2.5,7.0,0.0
17:00:00,501.0,1.8,5.0,0.0
18:00:00,292.0,1.1,3.0,0.0
19:00:00,21.0,0.1,0.0,0.0
20:00:00,0.0,0.0,0.0,0.0
21:00:00,0.0,0.0,0.0,0.0
22:00:00,0.0,0.0,0.0,0.0
23:00:00,0.0,0.0,0.0,0.0
