datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,88.6
01:00:00,0.0,0.0,0.0,94.1
02:00:00,0.0,0.0,0.0,43.3
03:00:00,0.0,0.0,0.0,74.3
04:00:00,0.0,0.0,0.0,100.0
05:00:00,0.0,0.0,0.0,100.0
06:00:00,0.0,0.0,0.0,100.0
07:00:00,0.0,0.0,0.0,100.0
08:00:00,12.0,0.0,0.0,100.0
09:00:00,39.0,0.1,0.0,100.0
10:00:00,39.0,0.1,0.0,100.0
11:00:00,39.0,0.1,0.0,100.0
12:00:00,44.0,0.2,0.0,100.0
13:00:00,40.0,0.1,0.0,100.0
14:00:00,77.0,0.3,1.0,100.0
15:00:00,142.0,0.5,1.0,100.0
16:00:00,44.0,0.2,0.0,100.0
17:00:00,40.0,0.1,0.0,100.0
18:00:00,54.0,0.2,1.0,65.8
19:00:00,19.0,0.1,0.0,63.6
20:00:00,0.0,0.0,0.0,93.2
21:00:00,0.0,0.0,0.0,56.4
22:00:00,0.0,0.0,0.0,86.7
23:00:00,0.0,0.0,0.0,99.6
