Date Time,Day of Week,Temp Max,Temp Min,Temp,Dew,Cloud Cover,Visibility,Solar Radiation,Solar Energy,UV Index
2024-09-08,Sunday,82.7,60.3,73.0,47.1,0.3,9.9,276.3,24.0,9.0
2024-09-09,Monday,84.8,58.2,72.0,45.8,0.0,9.9,275.9,24.0,9.0
2024-09-10,Tuesday,88.8,58.6,73.9,50.8,4.8,9.9,268.2,23.2,9.0
2024-09-11,Wednesday,81.9,68.5,76.2,66.5,73.1,9.7,102.9,9.0,4.0
2024-09-12,Thursday,85.1,69.4,75.4,64.2,68.1,9.8,158.7,13.8,9.0
2024-09-13,Friday,93.4,66.3,79.7,63.3,1.6,9.9,240.9,20.9,8.0
2024-09-14,Saturday,94.8,73.6,84.0,68.2,14.3,9.9,149.3,12.9,5.0
